id;cashbook_date;cashbook_description;cashbook_amount_cr;cashbook_amount_dr;cashbook_balance
1;2019-08-18;Business-focused Canyon Orchestrator;49261;34741;32875
2;2019-08-19;Illinois robust;53726;12887;46011
3;2019-08-19;Shirt Metal;64087;18006;18188
4;2019-08-18;e-business RSS;51523;66755;97311
5;2019-08-19;teal Licensed Wooden Pants;27859;34761;17701
6;2019-08-19;Brazil;53442;46077;35599
7;2019-08-19;innovative Bedfordshire Lempira;3931;9229;79941
8;2019-08-18;Bulgarian Lev Cambridgeshire;15697;92087;37728
9;2019-08-19;systemic;80620;8451;74825
10;2019-08-18;Manager;53659;37047;92404
