id;company_code;company_name;company_reg_number
1;invoice;Liaison Tonga;Lari
2;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow
3;Wooden;Future;pixel Phased payment
4;Towels Internal;seize generate;Fantastic Wooden Chips microchip
5;Generic;Business-focused generate grid-enabled;International card
6;West Virginia Keys;Factors Soft;black Beauty
7;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks
8;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary
9;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar
10;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered
