id;desing_code;desing_name;desing_prefix;desing_prof_margin
1;Lempira;pixel withdrawal;Mississippi embrace Developer;84891
2;hard drive Robust Networked;Poland;Small partnerships;20171
3;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306
4;Brand;neutral Salad;Auto Loan Account modular Refined;45653
5;mint green e-business EXE;back-end;granular Direct contextually-based;64769
6;Jewelery cutting-edge;Games;Iraq Bedfordshire;69243
7;encompassing;Directives;sky blue;55810
8;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661
9;paradigms Home;Investor Public-key;Lebanon;44778
10;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;39882
