id;job_status_code;job_status_description;is_active
1;hardware Venezuela Wisconsin;SDD disintermediate reinvent;true
2;infrastructure;mesh;false
3;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;true
4;program;Metal array France;false
5;schemas Synergistic Personal Loan Account;Avon;true
6;digital deposit;extend Unbranded Fresh Pants Tools;true
7;interfaces;Garden Dale Wallis and Futuna;false
8;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;true
9;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;true
10;Strategist;card Licensed Cotton Ball;false
