id;location_code;location_name;location_prof_margin;is_active
1;Avon;blue scalable Car;89676;true
2;Sleek Steel Shirt;Strategist Fresh incubate;96947;true
3;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;57161;false
4;synthesizing;silver;32367;true
5;tan program;Metal Auto Loan Account;28863;false
6;Avon Applications;Montenegro;5182;false
7;Crest Bahamas;Manager open architecture;80987;false
8;Metal;hack;59563;false
9;Investment Account cross-platform;Configuration;83061;true
10;infrastructures Mobility Representative;Shirt;6649;true
