id;supplier_code;supplier_name;supplier_limit;is_active
1;Intuitive vortals;Communications;15335;true
2;Granite Generic;Clothing;87212;true
3;Awesome International solid state;alarm;15253;true
4;maximize Practical Steel Fish;Configuration;92556;true
5;Wooden Visionary;hacking;12466;true
6;strategy instruction set Persistent;seize Handmade Plastic Mouse;80285;true
7;Money Market Account;synergize;53739;true
8;National Inlet Rue;Path Assimilated Unions;14085;false
9;Missouri;web-readiness;91484;false
10;multi-byte modular;Electronics;66353;true
