id;worker_code;worker_name;worker_limit;is_active
1;Strategist;Towels applications;8534;true
2;Hat matrices application;index indigo;89805;false
3;Expressway;Tools Street;56484;true
4;reciprocal;Mountain Malaysia supply-chains;40076;false
5;hack Intelligent;SDD Mobility;37330;false
6;Dynamic;schemas Industrial;15615;true
7;SMTP web-readiness Cyprus;Distributed;67189;true
8;Checking Account;multi-byte Salad;65274;true
9;bandwidth;Visionary pixel SAS;83021;true
10;Branding Concrete;eco-centric Senior;1300;true
